source_id,instrument,timestamp,data_type,oil_rigs,gas_rigs,misc_rigs,total_rigs,oil_rigs_delta_1w,gas_rigs_delta_1w,misc_rigs_delta_1w,total_rigs_delta_1w,energy_scarcity_trigger,oil_scarcity_trigger,gas_scarcity_trigger,total_scarcity_trigger,directional_bias,confidence,trigger_reason,unit,frequency,tos_status,gatekeeper_cleared,gatekeeper_id,raw_source_url,raw_file_name,source_sheet,normalized_at,trigger_components,trigger_threshold
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-08-01,RIG_COUNT,410,124,6,540,-5,2,1,-2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-08-08,RIG_COUNT,411,123,5,539,1,-1,-1,-1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-08-15,RIG_COUNT,412,122,5,539,1,-1,0,0,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-08-22,RIG_COUNT,411,122,5,538,-1,0,0,-1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-08-29,RIG_COUNT,412,119,5,536,1,-3,0,-2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-09-05,RIG_COUNT,414,118,5,537,2,-1,0,1,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-09-12,RIG_COUNT,416,118,5,539,2,0,0,2,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-09-19,RIG_COUNT,418,118,6,542,2,0,1,3,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-09-26,RIG_COUNT,424,117,8,549,6,-1,2,7,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
BAKER_HUGHES_RIG_COUNT_WEEKLY,US_RIG_COUNT,2025-10-03,RIG_COUNT,422,118,9,549,-2,1,1,0,False,False,False,False,neutral_energy_supply_signal,low,No oil/gas/total rig category fell by 10 or more WoW.,RIG_COUNT,WEEKLY,GO,True,LOCAL_PROTO,LOCAL_FILE:C:\Users\78432\Downloads\05-22-2026 North_America Rig_Count Report.xlsx,05-22-2026 North_America Rig_Count Report.xlsx,NAM Weekly,2026-05-25T21:16:27+00:00,"{""oil_scarcity_trigger"": false, ""gas_scarcity_trigger"": false, ""total_scarcity_trigger"": false}",-10
